,cash
1638,415.0
1639,395.0
1640,385.0
1641,365.0
1642,365.0
1643,345.0
1644,335.0
1645,315.0
1646,435.0
1647,425.0
1648,415.0
1649,395.0
1650,545.0
1651,530.0
1652,510.0
1653,500.0
1654,480.0
1655,900.0
1656,880.0
1657,870.0
1658,870.0
1659,850.0
1660,840.0
1661,820.0
1662,780.0
1663,912.5
1664,892.5
1665,872.5
1666,862.5
1667,842.5
1668,802.5
1669,762.5
1670,722.5
1671,722.5
1672,702.5
1673,682.5
1674,672.5
1675,652.5
1676,612.5
1677,687.5
1678,667.5
1679,657.5
1680,637.5
1681,742.5
1682,732.5
1683,722.5
1684,702.5
1685,682.5
1686,672.5
1687,657.5
1688,637.5
1689,627.5
1690,607.5
1691,567.5
1692,567.5
1693,547.5
1694,537.5
1695,517.5
1696,632.5
1697,612.5
1698,657.5
1699,637.5
1700,627.5
1701,607.5
1702,757.5
1703,747.5
1704,737.5
1705,697.5
1706,677.5
1707,652.5
1708,667.5
1709,647.5
1710,637.5
1711,617.5
1712,727.5
1713,742.5
1714,722.5
1715,757.5
1716,737.5
1717,727.5
1718,707.5
1719,687.5
1720,647.5
1721,607.5
1722,567.5
1723,522.5
1724,517.5
1725,507.5
1726,487.5
1727,477.5
1728,477.5
1729,437.5
1730,397.5
1731,397.5
1732,397.5
1733,387.5
1734,387.5
1735,367.5
1736,467.5
1737,472.5
1738,472.5
1739,472.5
1740,452.5
1741,190.0
1742,180.0
1743,220.0
1744,205.0
1745,195.0
1746,195.0
1747,195.0
1748,175.0
1749,175.0
1750,155.0
1751,115.0
1752,115.0
1753,95.0
1754,85.0
1755,85.0
1756,175.0
1757,175.0
1758,155.0
1759,145.0
1760,145.0
1761,145.0
1762,125.0
1763,115.0
1764,95.0
1765,95.0
1766,75.0
1767,65.0
1768,65.0
1769,190.0
1770,170.0
1771,160.0
1772,140.0
1773,100.0
1774,100.0
1775,80.0
1776,70.0
1777,50.0
1778,165.0
1779,155.0
